req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,completed,8588858,8592377,3,6.319999999997123,13.866666666666667,1.0,1,3.3199999999971226
2,completed,8587255,8577820,1,3.5699999999999363,13.356666666666655,0.0,3,2.5699999999999363
3,waiting,8589154,8587238,8,,,,3,
4,abandoned,8589138,8587356,6,,,,1,
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,5.376666666666665,19.786666666666648,0.0,1,-2.623333333333335
7,waiting,8577741,8587255,8,,,,1,
8,waiting,8587255,8589158,10,,,,2,
9,in_transit,8588858,8589147,6,19.75,,0.0,2,13.75
10,waiting,8587255,8589141,9,,,,1,
11,completed,8589161,8592374,0,6.07999999999987,8.466666666666667,0.0,1,6.07999999999987
12,completed,8589155,8592374,2,7.456666666663779,8.793333333330366,1.0,4,5.456666666663779
13,in_transit,8588858,8589138,5,19.713333333333324,,0.0,2,14.713333333333324
14,abandoned,8589161,8577820,3,,,,1,
15,abandoned,8589155,8589130,1,,,,3,
16,abandoned,8589138,8577741,1,,,,2,
17,completed,8592374,8577785,5,8.829999999997028,12.38000000000011,1.0,6,3.8299999999970282
18,waiting,8589152,8592377,20,,,,1,
19,waiting,8587238,8589141,28,,,,2,
20,waiting,8577786,8577741,21,,,,2,
21,waiting,8589147,8588351,30,,,,1,
22,waiting,8589152,8592378,25,,,,3,
23,waiting,8587356,8588344,21,,,,4,
24,waiting,8591766,8589155,23,,,,1,
25,waiting,8589161,8588351,31,,,,1,
26,waiting,8577785,8588858,31,,,,1,
27,waiting,8577741,8592377,37,,,,4,
28,waiting,8589154,8592375,35,,,,4,
29,waiting,8504622,8589131,35,,,,2,
30,waiting,8588344,8589155,34,,,,1,
31,waiting,8589158,8589155,40,,,,1,
32,waiting,8591767,8589152,40,,,,2,
33,waiting,8504622,8589147,33,,,,2,
34,waiting,8504622,8589141,36,,,,2,
35,waiting,8592377,8589154,38,,,,1,
36,waiting,8588858,8589155,35,,,,5,
37,waiting,8592375,8589161,30,,,,4,
38,waiting,8588858,8592375,30,,,,1,
